Sr. no,x,Wx,Wt,Depth,A_X,A_T,A-X/A_T,P_{0_X},P_{S_X} ,Experimental V_X,Theoretical Vx/Vt,Experimental V_X/V_T
1,0,80,44,50.85,4068,2237.4,1.818181818,16.2,10.3,31.0289177,0.55,0.695418261
2,10,74.78353982,44,50.85,3802.743,2237.4,1.699625905,16.2,9.6,32.81803618,0.588364767,0.735515878
3,20,69.64574238,44,50.85,3541.486,2237.4,1.582857781,16.2,8.4,35.6769667,0.631768698,0.799590059
4,30,64.50794494,44,50.85,3280.229,2237.4,1.466089658,16.2,7,38.74668351,0.682086525,0.86838837
5,40,59.37012783,44,50.85,3018.971,2237.4,1.349321087,16.2,5.6,41.59044377,0.741113446,0.932122556
6,50,54.23233038,44,50.85,2757.714,2237.4,1.232552963,16.2,4.8,43.13134957,0.811324162,0.966657245
7,60,49.09453294,44,50.85,2496.457,2237.4,1.11578484,16.2,4.4,43.88151624,0.896230137,0.983469936
8,70,44,44,50.85,2237.4,2237.4,1,16.2,4.2,44.25183096,1,0.991769407
9,80,44,44,50.85,2237.4,2237.4,1,16.2,4,44.61907237,1,1
10,90,44,44,50.85,2237.4,2237.4,1,16.2,4.2,44.25183096,1,0.991769407
11,100,44,44,50.85,2237.4,2237.4,1,16.2,4.6,43.50804973,1,0.975099827
12,110,44,44,50.85,2237.4,2237.4,1,16.2,5.2,42.36790253,1,0.949546915
13,120,45.40212389,44,50.85,2308.698,2237.4,1.031866452,16.2,5.8,41.19621266,0.969117659,0.923287071
14,130,47.20884956,44,50.85,2400.57,2237.4,1.072928399,16.2,6.2,40.39621004,0.932028643,0.90535746
15,140,49.01559489,44,50.85,2492.443,2237.4,1.113990793,16.2,6.8,39.16557875,0.897673487,0.877776625
16,150,50.82232055,44,50.85,2584.315,2237.4,1.15505274,16.2,7.2,38.32320977,0.865761333,0.858897501
17,160,52.62904621,44,50.85,2676.187,2237.4,1.196114687,16.2,7.6,37.46190406,0.836040232,0.839593969
18,170,54.43579154,44,50.85,2768.06,2237.4,1.237177081,16.2,7.8,37.02373806,0.808291728,0.829773819
19,180,56.24251721,44,50.85,2859.932,2237.4,1.278239027,16.2,8.2,36.13146868,0.782326293,0.80977633
20,190,58.04924287,44,50.85,2951.804,2237.4,1.319300974,16.2,8.6,35.21659946,0.757977156,0.789272336
21,200,59.8559882,44,50.85,3043.677,2237.4,1.360363368,16.2,8.8,34.75013384,0.735097712,0.778817936
22,210,61.66271386,44,50.85,3135.549,2237.4,1.401425315,16.2,9.2,33.79789417,0.713559252,0.757476397
23,220,63.46943953,44,50.85,3227.421,2237.4,1.442487262,16.2,9.4,33.31156818,0.693247023,0.746576888
24,230,65.27618486,44,50.85,3319.294,2237.4,1.483549656,16.2,9.5,33.06572299,0.674059002,0.74106702
25,240,67.08291052,44,50.85,3411.166,2237.4,1.524611603,16.2,9.6,32.81803618,0.655904755,0.735515878
26,250,68.88963618,44,50.85,3503.038,2237.4,1.56567355,16.2,10,31.8080076,0.638702749,0.712879177
27,260,70.69638151,44,50.85,3594.911,2237.4,1.606735944,16.2,10.2,31.29076975,0.622379803,0.701286873
28,270,72.50310718,44,50.85,3686.783,2237.4,1.64779789,16.2,10.2,31.29076975,0.606870543,0.701286873
29,280,74.30983284,44,50.85,3778.655,2237.4,1.688859837,16.2,10.3,31.0289177,0.592115448,0.695418261
30,290,76.11657817,44,50.85,3870.528,2237.4,1.729922231,16.2,10.4,30.764837,0.578060668,0.6894997
31,300,77.92330383,44,50.85,3962.4,2237.4,1.770984178,16.2,10.8,29.68503064,0.564657783,0.665299144
